dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.7755,0.7701,"{""healthy"":0.7349177330895795,""degraded"":0.8053691275167785}","[[201,20],[125,300]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.8235,0.8129,"{""healthy"":0.7682926829268293,""degraded"":0.8575}","[[189,32],[82,343]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.7771,0.7702,"{""healthy"":0.7303370786516854,""degraded"":0.8100263852242744}","[[195,26],[118,307]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.7864,0.7782,"{""healthy"":0.735632183908046,""degraded"":0.8207792207792208}","[[192,29],[109,316]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.7724,0.7680,"{""healthy"":0.7360861759425493,""degraded"":0.8}","[[205,16],[131,294]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.7957,0.7868,"{""healthy"":0.7431906614785992,""degraded"":0.8303341902313625}","[[191,30],[102,323]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.7864,0.7805,"{""healthy"":0.7444444444444445,""degraded"":0.8164893617021277}","[[201,20],[118,307]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.7523,0.7492,"{""healthy"":0.7212543554006968,""degraded"":0.7771587743732591}","[[207,14],[146,279]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.7724,0.7686,"{""healthy"":0.738898756660746,""degraded"":0.7983539094650206}","[[208,13],[134,291]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.7988,0.7866,"{""healthy"":0.7357723577235772,""degraded"":0.8375}","[[181,40],[90,335]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,10,"{""0"":2,""1"":2}",40,0.8050,0.7953,"{""healthy"":0.7509881422924901,""degraded"":0.8396946564885496}","[[190,31],[95,330]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,11,"{""0"":2,""1"":2}",40,0.7848,0.7750,"{""healthy"":0.7279843444227005,""degraded"":0.8220230473751601}","[[186,35],[104,321]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,12,"{""0"":2,""1"":2}",40,0.7864,0.7782,"{""healthy"":0.735632183908046,""degraded"":0.8207792207792208}","[[192,29],[109,316]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,13,"{""0"":2,""1"":2}",40,0.7895,0.7811,"{""healthy"":0.7384615384615385,""degraded"":0.8238341968911918}","[[192,29],[107,318]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,14,"{""0"":2,""1"":2}",40,0.7693,0.7623,"{""healthy"":0.7214953271028037,""degraded"":0.8031704095112285}","[[193,28],[121,304]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,15,"{""0"":2,""1"":2}",40,0.7384,0.7372,"{""healthy"":0.7197346600331676,""degraded"":0.7547169811320755}","[[217,4],[165,260]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,16,"{""0"":2,""1"":2}",40,0.7957,0.7865,"{""healthy"":0.7421875,""degraded"":0.8307692307692308}","[[190,31],[101,324]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,17,"{""0"":2,""1"":2}",40,0.8111,0.8016,"{""healthy"":0.7579365079365079,""degraded"":0.8451776649746193}","[[191,30],[92,333]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,18,"{""0"":2,""1"":2}",40,0.7926,0.7866,"{""healthy"":0.7509293680297398,""degraded"":0.8222811671087533}","[[202,19],[115,310]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,19,"{""0"":2,""1"":2}",40,0.8251,0.8138,"{""healthy"":0.7679671457905544,""degraded"":0.8596273291925466}","[[187,34],[79,346]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,20,"{""0"":2,""1"":2}",40,0.7709,0.7627,"{""healthy"":0.7186311787072244,""degraded"":0.8067885117493473}","[[189,32],[116,309]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,21,"{""0"":2,""1"":2}",40,0.8096,0.7989,"{""healthy"":0.7525150905432596,""degraded"":0.8452830188679246}","[[187,34],[89,336]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,22,"{""0"":2,""1"":2}",40,0.7864,0.7776,"{""healthy"":0.7335907335907336,""degraded"":0.8217054263565892}","[[190,31],[107,318]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,23,"{""0"":2,""1"":2}",40,0.7848,0.7767,"{""healthy"":0.734225621414914,""degraded"":0.8192457737321196}","[[192,29],[110,315]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,24,"{""0"":2,""1"":2}",40,0.7879,0.7794,"{""healthy"":0.7360308285163777,""degraded"":0.8227684346701164}","[[191,30],[107,318]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,25,"{""0"":2,""1"":2}",40,0.8158,0.8026,"{""healthy"":0.7515657620041754,""degraded"":0.8536285362853628}","[[180,41],[78,347]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,26,"{""0"":2,""1"":2}",40,0.7926,0.7844,"{""healthy"":0.7423076923076923,""degraded"":0.8264248704663213}","[[193,28],[106,319]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,27,"{""0"":2,""1"":2}",40,0.7647,0.7621,"{""healthy"":0.7370242214532872,""degraded"":0.7871148459383753}","[[213,8],[144,281]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,28,"{""0"":2,""1"":2}",40,0.7740,0.7691,"{""healthy"":0.7355072463768116,""degraded"":0.8027027027027027}","[[203,18],[128,297]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,29,"{""0"":2,""1"":2}",40,0.7957,0.7884,"{""healthy"":0.7490494296577946,""degraded"":0.8276762402088773}","[[197,24],[108,317]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,30,"{""0"":2,""1"":2}",40,0.7693,0.7643,"{""healthy"":0.7295825771324864,""degraded"":0.7989203778677463}","[[201,20],[129,296]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,31,"{""0"":2,""1"":2}",40,0.7601,0.7566,"{""healthy"":0.7275922671353251,""degraded"":0.7856154910096819}","[[207,14],[141,284]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,32,"{""0"":2,""1"":2}",40,0.7926,0.7844,"{""healthy"":0.7423076923076923,""degraded"":0.8264248704663213}","[[193,28],[106,319]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,33,"{""0"":2,""1"":2}",40,0.8189,0.8081,"{""healthy"":0.7626774847870182,""degraded"":0.853566958698373}","[[188,33],[84,341]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,34,"{""0"":2,""1"":2}",40,0.8080,0.7986,"{""healthy"":0.7549407114624506,""degraded"":0.8422391857506362}","[[191,30],[94,331]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,35,"{""0"":2,""1"":2}",40,0.7833,0.7598,"{""healthy"":0.6846846846846847,""degraded"":0.8349056603773585}","[[152,69],[71,354]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,36,"{""0"":2,""1"":2}",40,0.7384,0.7363,"{""healthy"":0.7130730050933786,""degraded"":0.7596017069701281}","[[210,11],[158,267]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,37,"{""0"":2,""1"":2}",40,0.7585,0.7546,"{""healthy"":0.723404255319149,""degraded"":0.7857142857142857}","[[204,17],[139,286]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,38,"{""0"":2,""1"":2}",40,0.7957,0.7823,"{""healthy"":0.7283950617283951,""degraded"":0.8362282878411911}","[[177,44],[88,337]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,39,"{""0"":2,""1"":2}",40,0.7941,0.7753,"{""healthy"":0.710239651416122,""degraded"":0.8403361344537815}","[[163,58],[75,350]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,0,"{""0"":5,""1"":5}",40,0.7693,0.7640,"{""healthy"":0.7285974499089253,""degraded"":0.7994616419919246}","[[200,21],[128,297]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,1,"{""0"":5,""1"":5}",40,0.7988,0.7903,"{""healthy"":0.748062015503876,""degraded"":0.8324742268041238}","[[193,28],[102,323]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,2,"{""0"":5,""1"":5}",40,0.7926,0.7841,"{""healthy"":0.7413127413127413,""degraded"":0.8268733850129198}","[[192,29],[105,320]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,3,"{""0"":5,""1"":5}",40,0.7415,0.7367,"{""healthy"":0.7012522361359571,""degraded"":0.772169167803547}","[[196,25],[142,283]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,4,"{""0"":5,""1"":5}",40,0.8065,0.7962,"{""healthy"":0.7504990019960079,""degraded"":0.8419721871049305}","[[188,33],[92,333]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,5,"{""0"":5,""1"":5}",40,0.8065,0.7965,"{""healthy"":0.7514910536779325,""degraded"":0.8415716096324461}","[[189,32],[93,332]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,6,"{""0"":5,""1"":5}",40,0.7601,0.7552,"{""healthy"":0.7207207207207207,""degraded"":0.7896879240162822}","[[200,21],[134,291]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,7,"{""0"":5,""1"":5}",40,0.7988,0.7873,"{""healthy"":0.7379032258064516,""degraded"":0.8366834170854272}","[[183,38],[92,333]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,8,"{""0"":5,""1"":5}",40,0.7786,0.7709,"{""healthy"":0.7286527514231499,""degraded"":0.8130718954248366}","[[192,29],[114,311]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,9,"{""0"":5,""1"":5}",40,0.7957,0.7878,"{""healthy"":0.7471264367816092,""degraded"":0.8285714285714286}","[[195,26],[106,319]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,10,"{""0"":5,""1"":5}",40,0.7802,0.7739,"{""healthy"":0.7360594795539034,""degraded"":0.8116710875331565}","[[198,23],[119,306]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,11,"{""0"":5,""1"":5}",40,0.7817,0.7594,"{""healthy"":0.6859688195991092,""degraded"":0.8327402135231317}","[[154,67],[74,351]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,12,"{""0"":5,""1"":5}",40,0.7415,0.7215,"{""healthy"":0.6469344608879493,""degraded"":0.796092796092796}","[[153,68],[99,326]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,13,"{""0"":5,""1"":5}",40,0.7415,0.7387,"{""healthy"":0.7115716753022453,""degraded"":0.7657784011220197}","[[206,15],[152,273]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,14,"{""0"":5,""1"":5}",40,0.7879,0.7799,"{""healthy"":0.7380497131931166,""degraded"":0.8218465539661899}","[[193,28],[109,316]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,15,"{""0"":5,""1"":5}",40,0.8111,0.7960,"{""healthy"":0.7404255319148936,""degraded"":0.851581508515815}","[[174,47],[75,350]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,5,16,"{""0"":5,""1"":5}",40,0.8158,0.8057,"{""healthy"":0.7615230460921844,""degraded"":0.849936948297604}","[[190,31],[88,337]]","[""healthy"",""degraded""]"
