dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,case_split,real_only,5,0,"{""0"":5,""1"":5,""2"":5}",0,0.3684,0.3724,"{""sharp"":0.4169014084507042,""worn"":0.3516483516483517,""severe"":0.34854771784232363}","[[74,55,92],[39,80,136],[21,65,84]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,5,1,"{""0"":5,""1"":5,""2"":5}",0,0.5511,0.5051,"{""sharp"":0.7188081936685289,""worn"":0.17445482866043613,""severe"":0.6221198156682027}","[[193,23,5],[103,28,124],[20,15,135]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,5,2,"{""0"":5,""1"":5,""2"":5}",0,0.5418,0.4569,"{""sharp"":0.6497005988023952,""worn"":0.0,""severe"":0.7208672086720868}","[[217,0,4],[193,0,62],[37,0,133]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,5,3,"{""0"":5,""1"":5,""2"":5}",0,0.4489,0.3592,"{""sharp"":0.6750448833034112,""worn"":0.3838771593090211,""severe"":0.018691588785046728}","[[188,21,12],[125,100,30],[23,145,2]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,5,4,"{""0"":5,""1"":5,""2"":5}",0,0.5681,0.5708,"{""sharp"":0.5025906735751295,""worn"":0.5798045602605864,""severe"":0.6301369863013698}","[[97,121,3],[50,178,27],[18,60,92]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,10,0,"{""0"":10,""1"":10,""2"":10}",0,0.4164,0.3462,"{""sharp"":0.11063829787234042,""worn"":0.547945205479452,""severe"":0.38}","[[13,128,80],[1,180,74],[0,94,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,10,1,"{""0"":10,""1"":10,""2"":10}",0,0.5124,0.4620,"{""sharp"":0.7604562737642585,""worn"":0.13793103448275862,""severe"":0.48769574944071586}","[[200,0,21],[86,22,147],[19,42,109]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,10,2,"{""0"":10,""1"":10,""2"":10}",0,0.5604,0.4891,"{""sharp"":0.734006734006734,""worn"":0.11971830985915492,""severe"":0.6135265700483091}","[[218,1,2],[123,17,115],[32,11,127]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,10,3,"{""0"":10,""1"":10,""2"":10}",0,0.4056,0.3324,"{""sharp"":0.017857142857142856,""worn"":0.4748427672955975,""severe"":0.5046296296296297}","[[2,169,50],[1,151,103],[0,61,109]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,real_only,10,4,"{""0"":10,""1"":10,""2"":10}",0,0.5944,0.5974,"{""sharp"":0.6297872340425532,""worn"":0.4818181818181818,""severe"":0.680628272251309}","[[148,67,6],[73,106,76],[28,12,130]]","[""sharp"",""worn"",""severe""]"
