dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,0,"{""0"":2,""1"":2,""2"":2}",30,0.5963,0.5592,"{""sharp"":0.7552447552447552,""worn"":0.22564102564102564,""severe"":0.6966292134831461}","[[108,11,0],[59,22,72],[0,9,93]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,1,"{""0"":2,""1"":2,""2"":2}",30,0.5187,0.4524,"{""sharp"":0.5994962216624685,""worn"":0.0,""severe"":0.7575757575757576}","[[119,0,0],[132,0,21],[27,0,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,2,"{""0"":2,""1"":2,""2"":2}",30,0.5455,0.5575,"{""sharp"":0.4406779661016949,""worn"":0.5459940652818991,""severe"":0.6857142857142857}","[[52,67,0],[48,92,13],[17,25,60]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,3,"{""0"":2,""1"":2,""2"":2}",30,0.2701,0.1421,"{""sharp"":0.0,""worn"":0.0,""severe"":0.42616033755274263}","[[0,0,119],[1,0,152],[1,0,101]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,4,"{""0"":2,""1"":2,""2"":2}",30,0.5321,0.4824,"{""sharp"":0.6915254237288135,""worn"":0.14689265536723164,""severe"":0.6086956521739131}","[[102,5,12],[62,13,78],[12,6,84]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,5,"{""0"":2,""1"":2,""2"":2}",30,0.5989,0.5859,"{""sharp"":0.5060240963855421,""worn"":0.6246851385390428,""severe"":0.6270270270270271}","[[42,77,0],[4,124,25],[1,43,58]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,6,"{""0"":2,""1"":2,""2"":2}",30,0.4198,0.4330,"{""sharp"":0.4731182795698925,""worn"":0.23880597014925373,""severe"":0.5870646766169154}","[[66,53,0],[81,32,40],[13,30,59]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,7,"{""0"":2,""1"":2,""2"":2}",30,0.2754,0.2782,"{""sharp"":0.3087248322147651,""worn"":0.3948220064724919,""severe"":0.1310344827586207}","[[23,12,84],[7,61,85],[0,83,19]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,8,"{""0"":2,""1"":2,""2"":2}",30,0.3690,0.3059,"{""sharp"":0.5813333333333334,""worn"":0.10666666666666667,""severe"":0.22972972972972974}","[[109,0,10],[122,12,19],[25,60,17]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,2,9,"{""0"":2,""1"":2,""2"":2}",30,0.5535,0.5208,"{""sharp"":0.6380697050938338,""worn"":0.2541436464088398,""severe"":0.6701030927835051}","[[119,0,0],[103,23,27],[32,5,65]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",30,0.3342,0.3463,"{""sharp"":0.48205128205128206,""worn"":0.37630662020905925,""severe"":0.18045112781954886}","[[47,3,69],[28,54,71],[1,77,24]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",30,0.5267,0.5022,"{""sharp"":0.6346863468634686,""worn"":0.24875621890547264,""severe"":0.6231884057971014}","[[86,8,25],[65,25,63],[1,15,86]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",30,0.5668,0.5353,"{""sharp"":0.7,""worn"":0.3,""severe"":0.6057692307692307}","[[119,0,0],[80,30,43],[22,17,63]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",30,0.4519,0.3756,"{""sharp"":0.68,""worn"":0.31906614785992216,""severe"":0.1276595744680851}","[[119,0,0],[82,41,30],[30,63,9]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",30,0.4893,0.4910,"{""sharp"":0.6440677966101694,""worn"":0.264,""severe"":0.5648854961832062}","[[76,43,0],[34,33,86],[7,21,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5}",30,0.6658,0.6648,"{""sharp"":0.7607843137254902,""worn"":0.5101214574898786,""severe"":0.7235772357723578}","[[97,22,0],[35,63,55],[4,9,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5}",30,0.4412,0.4506,"{""sharp"":0.5754716981132075,""worn"":0.4044943820224719,""severe"":0.37174721189591076}","[[61,10,48],[30,54,69],[2,50,50]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5}",30,0.4305,0.4252,"{""sharp"":0.5016949152542373,""worn"":0.13100436681222707,""severe"":0.6428571428571429}","[[74,45,0],[88,15,50],[14,16,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5}",30,0.5936,0.5469,"{""sharp"":0.7125748502994012,""worn"":0.2247191011235955,""severe"":0.7033898305084746}","[[119,0,0],[82,20,51],[14,5,83]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5}",30,0.5535,0.5193,"{""sharp"":0.6434782608695652,""worn"":0.1702127659574468,""severe"":0.7441860465116279}","[[111,8,0],[104,16,33],[11,11,80]]","[""sharp"",""worn"",""severe""]"
