split,method,n_real,rows,expected_rows,complete,missing_seeds
loco_N09_M07_F10,llm,5,40,40,True,[]
loco_N09_M07_F10,llm,10,40,40,True,[]
loco_N09_M07_F10,llm,25,40,40,True,[]
loco_N09_M07_F10,rule,5,40,40,True,[]
loco_N09_M07_F10,rule,10,40,40,True,[]
loco_N09_M07_F10,rule,25,40,40,True,[]
loco_N09_M07_F10,random_open_loop,5,40,40,True,[]
loco_N09_M07_F10,random_open_loop,10,40,40,True,[]
loco_N09_M07_F10,random_open_loop,25,40,40,True,[]
loco_N09_M07_F10,noise_aug,5,40,40,True,[]
loco_N09_M07_F10,noise_aug,10,40,40,True,[]
loco_N09_M07_F10,noise_aug,25,40,40,True,[]
loco_N09_M07_F10,real_only,5,40,40,True,[]
loco_N09_M07_F10,real_only,10,40,40,True,[]
loco_N09_M07_F10,real_only,25,40,40,True,[]
loco_N15_M01_F10,llm,5,40,40,True,[]
loco_N15_M01_F10,llm,10,40,40,True,[]
loco_N15_M01_F10,llm,25,40,40,True,[]
loco_N15_M01_F10,rule,5,40,40,True,[]
loco_N15_M01_F10,rule,10,40,40,True,[]
loco_N15_M01_F10,rule,25,40,40,True,[]
loco_N15_M01_F10,random_open_loop,5,40,40,True,[]
loco_N15_M01_F10,random_open_loop,10,40,40,True,[]
loco_N15_M01_F10,random_open_loop,25,40,40,True,[]
loco_N15_M01_F10,noise_aug,5,40,40,True,[]
loco_N15_M01_F10,noise_aug,10,40,40,True,[]
loco_N15_M01_F10,noise_aug,25,40,40,True,[]
loco_N15_M01_F10,real_only,5,40,40,True,[]
loco_N15_M01_F10,real_only,10,40,40,True,[]
loco_N15_M01_F10,real_only,25,40,40,True,[]
loco_N15_M07_F04,llm,5,40,40,True,[]
loco_N15_M07_F04,llm,10,40,40,True,[]
loco_N15_M07_F04,llm,25,40,40,True,[]
loco_N15_M07_F04,rule,5,40,40,True,[]
loco_N15_M07_F04,rule,10,40,40,True,[]
loco_N15_M07_F04,rule,25,40,40,True,[]
loco_N15_M07_F04,random_open_loop,5,40,40,True,[]
loco_N15_M07_F04,random_open_loop,10,40,40,True,[]
loco_N15_M07_F04,random_open_loop,25,40,40,True,[]
loco_N15_M07_F04,noise_aug,5,40,40,True,[]
loco_N15_M07_F04,noise_aug,10,40,40,True,[]
loco_N15_M07_F04,noise_aug,25,40,40,True,[]
loco_N15_M07_F04,real_only,5,40,40,True,[]
loco_N15_M07_F04,real_only,10,40,40,True,[]
loco_N15_M07_F04,real_only,25,40,40,True,[]
loco_N15_M07_F10,llm,5,40,40,True,[]
loco_N15_M07_F10,llm,10,40,40,True,[]
loco_N15_M07_F10,llm,25,40,40,True,[]
loco_N15_M07_F10,rule,5,40,40,True,[]
loco_N15_M07_F10,rule,10,40,40,True,[]
loco_N15_M07_F10,rule,25,40,40,True,[]
loco_N15_M07_F10,random_open_loop,5,40,40,True,[]
loco_N15_M07_F10,random_open_loop,10,40,40,True,[]
loco_N15_M07_F10,random_open_loop,25,40,40,True,[]
loco_N15_M07_F10,noise_aug,5,40,40,True,[]
loco_N15_M07_F10,noise_aug,10,40,40,True,[]
loco_N15_M07_F10,noise_aug,25,40,40,True,[]
loco_N15_M07_F10,real_only,5,40,40,True,[]
loco_N15_M07_F10,real_only,10,40,40,True,[]
loco_N15_M07_F10,real_only,25,40,40,True,[]
