timestamp_local,stage,dataset,planned_calls,actual_api_requests,cumulative_api_requests,notes
2026-07-06 13:58,phaseB_api_counter_reset,all,0,0,0,"User provided API endpoint/key; key is not stored in project files. Total budget cap remains <=2000 requests."
2026-07-06 14:07,phaseB_cwru_llm_smoke,CWRU,20,20,20,within_load0; tag=smoke_api_v1; decision=FAIL_NEEDS_ITERATION; model=mimo-v2.5; key_not_stored
2026-07-06 14:13,phaseB_cwru_llm_smoke,CWRU,10,10,30,within_load0; tag=smoke_api_v2_healthy_prompt; decision=FAIL_NEEDS_ITERATION; model=mimo-v2.5; key_not_stored
2026-07-06 14:23,phaseB_cwru_llm_smoke,CWRU,10,10,40,within_load0; tag=smoke_api_v3_healthy_compact; decision=PASS_FOR_DOWNSTREAM_SMOKE; model=mimo-v2.5; key_not_stored
2026-07-06 14:34,phaseB_cwru_llm_smoke,CWRU,15,15,55,within_load0; tag=smoke_api_v4_fault_quality; decision=PASS_FOR_DOWNSTREAM_SMOKE; model=mimo-v2.5; key_not_stored
2026-07-06 14:45,phaseB_cwru_llm_smoke,CWRU,15,15,70,within_load0; tag=smoke_api_v5_fault_quality_pilot; decision=PASS_FOR_DOWNSTREAM_SMOKE; model=mimo-v2.5; key_not_stored
2026-07-06 15:59,phaseB_cwru_llm_smoke,CWRU,560,567,637,within_load0; tag=full_v1_supplement; decision=PASS_FOR_DOWNSTREAM_SMOKE; model=mimo-v2.5; key_not_stored
2026-07-07 00:00,phaseB_cwru_patch_v2_downstream,CWRU,0,0,637,within_load0+lolo_load0/1/2/3; unified_nsyn20_per_class; seeds=40; downstream_stats_and_freeze_only; key_not_stored
2026-07-07 00:00,phaseB_pu_loco_and_milling_pre_api,PU+milling,0,0,637,LLM_MIN_INTERVAL confirmed as 2s; PU LOCO split/pool smoke and milling preprocessing used no API; key_not_stored
2026-07-07 00:00,phaseB_api_throttle_budget_reestimate,all,0,0,637,Confirmed serial LLM throttling is 2.0s not 120s; remaining budget 1363 requests; throttle-only minimum for remaining budget 45.4min; see api_budget_estimate_2026-07-07.md; key_not_stored
2026-07-07 00:00,pu_loco_llm_smoke_path_bug,PU LOCO,30,1,638,N09_M07_F10 fold smoke stopped after first accepted expansion because relative output path could not be converted to project-root path; no result claimed; rerun cap reduced to 29; key_not_stored
2026-07-07 00:00,pu_loco_llm_smoke,PU LOCO,29,20,658,N09_M07_F10 heldout fold; slots=9 accepted_slots=6 acceptance=66.7%; kept_counts healthy=6 OR=2 IR=10; OR weak-class diagnostics: soft_spectrum/stats_union; key_not_stored
2026-07-07 00:00,pu_loco_llm_smoke,PU LOCO,30,10,668,N15_M01_F10 heldout fold; slots=9 accepted_slots=9 acceptance=100%; kept_counts healthy=6 OR=5 IR=8; key_not_stored
2026-07-07 00:00,pu_loco_llm_smoke,PU LOCO,30,15,683,N15_M07_F04 heldout fold; slots=9 accepted_slots=8 acceptance=88.9%; kept_counts healthy=8 OR=4 IR=10; one OR slot failed; key_not_stored
2026-07-07 00:00,pu_loco_llm_smoke,PU LOCO,30,18,701,N15_M07_F10 heldout fold; slots=9 accepted_slots=7 acceptance=77.8%; kept_counts healthy=8 OR=1 IR=11; OR weak-class diagnostics: soft_spectrum/stats_union/psd_w1; key_not_stored
2026-07-07 00:00,pu_loco_llm_target_fill,PU LOCO,80,20,721,N09_M07_F10 heldout fold; target kept>=20/class reached with expansions=10; kept_counts healthy=20 OR=22 IR=24; key_not_stored
2026-07-07 00:00,pu_loco_llm_target_fill,PU LOCO,60,20,741,N15_M01_F10 heldout fold; target kept>=20/class reached with expansions=10; kept_counts healthy=21 OR=26 IR=23; key_not_stored
2026-07-07 00:00,pu_loco_llm_target_fill,PU LOCO,60,13,754,N15_M07_F04 heldout fold; target kept>=20/class reached with expansions=10; kept_counts healthy=21 OR=22 IR=21; key_not_stored
2026-07-07 00:00,pu_loco_llm_target_fill,PU LOCO,80,16,770,N15_M07_F10 heldout fold; target kept>=20/class reached with expansions=10; kept_counts healthy=23 OR=25 IR=28; key_not_stored
2026-07-08 10:04,milling_berkeley_llm_smoke,Berkeley milling,30,30,800,smoke_v1 failed: 29/30 parse_failed due full matrix output truncated under max_tokens<=900; compact recipe prompt implemented for next run; key_not_stored
2026-07-08 10:13,milling_berkeley_llm_smoke,Berkeley milling,18,12,812,smoke_v2_compact parsed successfully; accepted_slots=4/6; kept_counts sharp=5 worn=1 severe=10; needs class-balanced prompt/expander fix before scaling; key_not_stored
2026-07-08 10:22,milling_berkeley_llm_smoke,Berkeley milling,18,9,821,smoke_v3_compact accepted_slots=5/6 acceptance=83.3%; kept_counts sharp=10 worn=4 severe=6; compact prompt/generator passes >=30% gate; key_not_stored
2026-07-08 10:30,milling_berkeley_llm_target_fill,Berkeley milling,21,21,842,smoke_v3_compact unbalanced fill consumed by class-order scheduling; accepted_slots=13/30 kept_counts sharp=49 worn=4 severe=6; add class-filtered fill before downstream; key_not_stored
2026-07-08 10:38,milling_berkeley_llm_classfill,Berkeley milling,24,24,866,classfill_v1 for worn,severe under compact prompt; accepted_slots=2/12 kept_counts worn=0 severe=3; failed class balance, diagnose before more API; key_not_stored
2026-07-08 10:45,budget_patch,all,0,0,866,User increased total API cap to 3000; milling attack reserve <=600, XJTU <=250, PU LOCO v2 supplemental <=50, Phase E <=400; PU LOCO v2 starts with zero-API condition-aware rerender; key_not_stored
2026-07-08 12:00,milling_berkeley_inner_attack,Berkeley milling,15,15,881,inner-train fresh LLM mean/std renderer smoke; accepted_slots=15/15 kept_counts sharp=25 worn=25 severe=25; key_not_stored
2026-07-08 00:00,milling_berkeley_contrastive_smoke,Berkeley milling,30,9,890,inner-train contrastive prompt; accepted_slots=9/9 kept_counts sharp=15 worn=15 severe=15; key_not_stored
2026-07-08 00:00,milling_berkeley_prototype_contrastive_smoke,Berkeley milling,30,9,899,inner-train high-margin prototype prompt; accepted_slots=9/9 kept_counts sharp=15 worn=15 severe=13; key_not_stored
2026-07-08 00:00,milling_berkeley_repair_smoke_v9,Berkeley milling,15,15,914,"repair prompt first smoke; accepted_slots=15/15 kept_counts sharp=25 worn=25 severe=25; coherent EQ rerender promoted; key_not_stored; LLM_MIN_INTERVAL=2.0"
2026-07-08 00:00,milling_berkeley_repair_supplement_v11,Berkeley milling,15,15,929,"repair prompt supplement; accepted_slots_total=30/30 raw_counts sharp=50 worn=50 severe=50; coherent EQ rerender counts 200/class; key_not_stored; LLM_MIN_INTERVAL=2.0"
2026-07-08 00:00,milling_berkeley_v2_relabel_rerender_formal,Berkeley milling,150,0,929,"v2 literature 0.2/0.7 relabel plus binary fallback; zero-API rerender of accepted repair recipes; formal 40-seed held-out test completed once after preregistration; result=partial_no_go_15_of_18; key_not_stored"
2026-07-08 00:00,milling_umich_v2_llm_smokes,UMich CNC,200,61,990,"binary unworn/worn; dynamic 6-channel process-current NPZ; LLM smoke v1 accepted_slots=30/30 counts unworn=75 worn=75; LLM v2 repair accepted_slots=30/30 counts unworn=71 worn=72; one provider/proxy transport failure counted conservatively; best inner-val gate=2/6 so no preregistration/formal; key_not_stored; LLM_MIN_INTERVAL=2.0"
