dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",30,0.5508,0.4838,"{""sharp"":0.74375,""worn"":0.056818181818181816,""severe"":0.6507936507936508}","[[119,0,0],[80,5,68],[2,18,82]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",30,0.5241,0.4422,"{""sharp"":0.6312684365781711,""worn"":0.0,""severe"":0.6953125}","[[107,0,12],[100,0,53],[13,0,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",30,0.5695,0.5336,"{""sharp"":0.6485013623978202,""worn"":0.25,""severe"":0.7024390243902439}","[[119,0,0],[100,22,31],[29,1,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",30,0.4973,0.4388,"{""sharp"":0.670846394984326,""worn"":0.02197802197802198,""severe"":0.6234817813765182}","[[107,12,0],[83,2,68],[10,15,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",30,0.5829,0.5658,"{""sharp"":0.6990291262135923,""worn"":0.3225806451612903,""severe"":0.6756756756756757}","[[108,11,0],[73,35,45],[9,18,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,5,"{""0"":2,""1"":2,""2"":2}",30,0.5107,0.4983,"{""sharp"":0.6445783132530121,""worn"":0.3346303501945525,""severe"":0.5157232704402516}","[[107,12,0],[94,43,16],[12,49,41]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,6,"{""0"":2,""1"":2,""2"":2}",30,0.5053,0.5042,"{""sharp"":0.6123778501628665,""worn"":0.3107569721115538,""severe"":0.5894736842105263}","[[94,25,0],[82,39,32],[12,34,56]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,7,"{""0"":2,""1"":2,""2"":2}",30,0.5455,0.4971,"{""sharp"":0.7020648967551623,""worn"":0.1497326203208556,""severe"":0.6396396396396397}","[[119,0,0],[90,14,49],[11,20,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,8,"{""0"":2,""1"":2,""2"":2}",30,0.5642,0.4733,"{""sharp"":0.7044776119402985,""worn"":0.0,""severe"":0.7153846153846154}","[[118,0,1],[89,0,64],[9,0,93]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,9,"{""0"":2,""1"":2,""2"":2}",30,0.6337,0.6079,"{""sharp"":0.7155963302752294,""worn"":0.35051546391752575,""severe"":0.7577092511013216}","[[117,2,0],[80,34,39],[11,5,86]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",30,0.4225,0.3887,"{""sharp"":0.7035830618892508,""worn"":0.1825726141078838,""severe"":0.28}","[[108,0,11],[72,22,59],[8,66,28]]","[""sharp"",""worn"",""severe""]"
