dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,case_split,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4350,0.4411,"{""sharp"":0.5153061224489796,""worn"":0.4567307692307692,""severe"":0.3512396694214876}","[[101,2,118],[49,95,111],[21,64,85]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.4969,0.4428,"{""sharp"":0.6783216783216783,""worn"":0.12944983818770225,""severe"":0.5206812652068127}","[[194,20,7],[108,20,127],[49,14,107]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4628,0.3874,"{""sharp"":0.6431535269709544,""worn"":0.0,""severe"":0.518918918918919}","[[155,0,66],[80,0,175],[26,0,144]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.4071,0.3449,"{""sharp"":0.4968944099378882,""worn"":0.03065134099616858,""severe"":0.5072992700729927}","[[120,0,101],[113,4,138],[29,2,139]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5789,0.5471,"{""sharp"":0.7091503267973857,""worn"":0.44761904761904764,""severe"":0.4846153846153846}","[[217,2,2],[136,94,25],[38,69,63]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.5774,0.5551,"{""sharp"":0.5846153846153846,""worn"":0.6165644171779141,""severe"":0.464}","[[114,103,4],[36,201,18],[19,93,58]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.5542,0.5066,"{""sharp"":0.7217235188509874,""worn"":0.2280130293159609,""severe"":0.5700934579439252}","[[201,0,20],[104,35,116],[31,17,122]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.4985,0.4694,"{""sharp"":0.6378600823045267,""worn"":0.18604651162790697,""severe"":0.5844155844155844}","[[155,47,19],[85,32,138],[25,10,135]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.5526,0.5567,"{""sharp"":0.609375,""worn"":0.4872881355932203,""severe"":0.573394495412844}","[[117,62,42],[41,115,99],[5,40,125]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.6223,0.6232,"{""sharp"":0.6935483870967742,""worn"":0.5055928411633109,""severe"":0.670487106017192}","[[172,47,2],[82,113,60],[21,32,117]]","[""sharp"",""worn"",""severe""]"
