dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.6604,0.6575,"{""sharp"":0.7619047619047619,""worn"":0.48582995951417,""severe"":0.7246376811594203}","[[112,7,0],[63,60,30],[0,27,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5214,0.4891,"{""sharp"":0.6453488372093024,""worn"":0.16161616161616163,""severe"":0.6601941747572816}","[[111,8,0],[101,16,36],[13,21,68]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.6471,0.6421,"{""sharp"":0.6819484240687679,""worn"":0.49038461538461536,""severe"":0.7539267015706806}","[[119,0,0],[85,51,17],[26,4,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.5187,0.4831,"{""sharp"":0.6524390243902439,""worn"":0.14213197969543148,""severe"":0.6547085201793722}","[[107,12,0],[91,14,48],[11,18,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5802,0.5379,"{""sharp"":0.7345679012345679,""worn"":0.22105263157894736,""severe"":0.6581196581196581}","[[119,0,0],[77,21,55],[9,16,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.5348,0.5130,"{""sharp"":0.7375415282392026,""worn"":0.29694323144104806,""severe"":0.5045871559633027}","[[111,1,7],[65,34,54],[6,41,55]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.6016,0.5944,"{""sharp"":0.7386759581881533,""worn"":0.4541832669322709,""severe"":0.5904761904761905}","[[106,3,10],[60,57,36],[2,38,62]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6203,0.5963,"{""sharp"":0.7155963302752294,""worn"":0.38578680203045684,""severe"":0.6875}","[[117,0,2],[72,38,43],[19,6,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5214,0.5044,"{""sharp"":0.6945337620578779,""worn"":0.30578512396694213,""severe"":0.5128205128205128}","[[108,11,0],[73,37,43],[11,41,50]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5668,0.5721,"{""sharp"":0.6526315789473685,""worn"":0.43223443223443225,""severe"":0.631578947368421}","[[93,26,0],[66,59,28],[7,35,60]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.5588,0.5333,"{""sharp"":0.7353951890034365,""worn"":0.2358490566037736,""severe"":0.6285714285714286}","[[107,11,1],[63,25,65],[2,23,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.5321,0.5249,"{""sharp"":0.7285714285714285,""worn"":0.34615384615384615,""severe"":0.5}","[[102,14,3],[57,45,51],[2,48,52]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.6364,0.6255,"{""sharp"":0.7032258064516129,""worn"":0.4074074074074074,""severe"":0.7657657657657657}","[[109,10,0],[74,44,35],[8,9,85]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.6283,0.6234,"{""sharp"":0.7534246575342466,""worn"":0.43724696356275305,""severe"":0.6794258373205742}","[[110,9,0],[63,54,36],[0,31,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.5829,0.5700,"{""sharp"":0.7638888888888888,""worn"":0.38493723849372385,""severe"":0.5610859728506787}","[[110,0,9],[59,46,48],[0,40,62]]","[""sharp"",""worn"",""severe""]"
