dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.7709,0.7659,"{""healthy"":0.7318840579710145,""degraded"":0.8}","[[202,19],[129,296]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.8266,0.8173,"{""healthy"":0.776,""degraded"":0.8585858585858586}","[[194,27],[85,340]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.7570,0.7516,"{""healthy"":0.7150635208711433,""degraded"":0.7881241565452092}","[[197,24],[133,292]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.7802,0.7726,"{""healthy"":0.7310606060606061,""degraded"":0.8141361256544503}","[[193,28],[114,311]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.7678,0.7636,"{""healthy"":0.7321428571428571,""degraded"":0.7950819672131147}","[[205,16],[134,291]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.7895,0.7811,"{""healthy"":0.7384615384615385,""degraded"":0.8238341968911918}","[[192,29],[107,318]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.7833,0.7775,"{""healthy"":0.7416974169741697,""degraded"":0.8133333333333334}","[[201,20],[120,305]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.7570,0.7536,"{""healthy"":0.7250437828371279,""degraded"":0.782246879334258}","[[207,14],[143,282]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.7523,0.7503,"{""healthy"":0.7278911564625851,""degraded"":0.7727272727272727}","[[214,7],[153,272]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.7988,0.7866,"{""healthy"":0.7357723577235772,""degraded"":0.8375}","[[181,40],[90,335]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,10,"{""0"":2,""1"":2}",40,0.8050,0.7951,"{""healthy"":0.75,""degraded"":0.8401015228426396}","[[189,32],[94,331]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,11,"{""0"":2,""1"":2}",40,0.7988,0.7891,"{""healthy"":0.7440944881889764,""degraded"":0.8341836734693877}","[[189,32],[98,327]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,12,"{""0"":2,""1"":2}",40,0.7895,0.7817,"{""healthy"":0.7404580152671756,""degraded"":0.8229166666666666}","[[194,27],[109,316]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,13,"{""0"":2,""1"":2}",40,0.7879,0.7799,"{""healthy"":0.7380497131931166,""degraded"":0.8218465539661899}","[[193,28],[109,316]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,14,"{""0"":2,""1"":2}",40,0.7755,0.7685,"{""healthy"":0.7279549718574109,""degraded"":0.8089591567852438}","[[194,27],[118,307]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,15,"{""0"":2,""1"":2}",40,0.7384,0.7372,"{""healthy"":0.7197346600331676,""degraded"":0.7547169811320755}","[[217,4],[165,260]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,16,"{""0"":2,""1"":2}",40,0.7941,0.7850,"{""healthy"":0.7407407407407407,""degraded"":0.8292682926829268}","[[190,31],[102,323]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,17,"{""0"":2,""1"":2}",40,0.8111,0.8018,"{""healthy"":0.758893280632411,""degraded"":0.8447837150127226}","[[192,29],[93,332]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,18,"{""0"":2,""1"":2}",40,0.7709,0.7659,"{""healthy"":0.7318840579710145,""degraded"":0.8}","[[202,19],[129,296]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,19,"{""0"":2,""1"":2}",40,0.8220,0.8105,"{""healthy"":0.7638603696098563,""degraded"":0.8571428571428571}","[[186,35],[80,345]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,20,"{""0"":2,""1"":2}",40,0.7709,0.7627,"{""healthy"":0.7186311787072244,""degraded"":0.8067885117493473}","[[189,32],[116,309]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,21,"{""0"":2,""1"":2}",40,0.8111,0.8010,"{""healthy"":0.756,""degraded"":0.8459595959595959}","[[189,32],[90,335]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,22,"{""0"":2,""1"":2}",40,0.7910,0.7842,"{""healthy"":0.7457627118644068,""degraded"":0.8226018396846255}","[[198,23],[112,313]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,23,"{""0"":2,""1"":2}",40,0.7833,0.7755,"{""healthy"":0.7338403041825095,""degraded"":0.8172323759791122}","[[193,28],[112,313]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,24,"{""0"":2,""1"":2}",40,0.7817,0.7743,"{""healthy"":0.7334593572778828,""degraded"":0.8152031454783748}","[[194,27],[114,311]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,25,"{""0"":2,""1"":2}",40,0.8189,0.8072,"{""healthy"":0.7597535934291582,""degraded"":0.8546583850931677}","[[185,36],[81,344]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,26,"{""0"":2,""1"":2}",40,0.7817,0.7746,"{""healthy"":0.7344632768361582,""degraded"":0.8147174770039421}","[[195,26],[115,310]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,27,"{""0"":2,""1"":2}",40,0.7632,0.7606,"{""healthy"":0.7357512953367875,""degraded"":0.7854137447405329}","[[213,8],[145,280]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,28,"{""0"":2,""1"":2}",40,0.7771,0.7725,"{""healthy"":0.740072202166065,""degraded"":0.8048780487804879}","[[205,16],[128,297]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,29,"{""0"":2,""1"":2}",40,0.7678,0.7650,"{""healthy"":0.7395833333333334,""degraded"":0.7905027932960894}","[[213,8],[142,283]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,30,"{""0"":2,""1"":2}",40,0.7709,0.7664,"{""healthy"":0.7338129496402878,""degraded"":0.7989130434782609}","[[204,17],[131,294]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,31,"{""0"":2,""1"":2}",40,0.7539,0.7507,"{""healthy"":0.7225130890052356,""degraded"":0.7788595271210014}","[[207,14],[145,280]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,32,"{""0"":2,""1"":2}",40,0.7988,0.7921,"{""healthy"":0.7547169811320755,""degraded"":0.8293963254593176}","[[200,21],[109,316]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,33,"{""0"":2,""1"":2}",40,0.8173,0.8069,"{""healthy"":0.7620967741935484,""degraded"":0.8517587939698492}","[[189,32],[86,339]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,34,"{""0"":2,""1"":2}",40,0.8019,0.7929,"{""healthy"":0.75,""degraded"":0.8358974358974359}","[[192,29],[99,326]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,35,"{""0"":2,""1"":2}",40,0.7833,0.7598,"{""healthy"":0.6846846846846847,""degraded"":0.8349056603773585}","[[152,69],[71,354]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,36,"{""0"":2,""1"":2}",40,0.7461,0.7445,"{""healthy"":0.7239057239057239,""degraded"":0.7650429799426934}","[[215,6],[158,267]]","[""healthy"",""degraded""]"
