dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,0,"{""0"":2,""1"":2}",0,0.6037,0.6027,"{""healthy"":0.6224188790560472,""degraded"":0.5830618892508144}","[[211,10],[246,179]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,1,"{""0"":2,""1"":2}",0,0.6563,0.6399,"{""healthy"":0.562992125984252,""degraded"":0.7168367346938775}","[[143,78],[144,281]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,2,"{""0"":2,""1"":2}",0,0.7740,0.7479,"{""healthy"":0.6666666666666666,""degraded"":0.8290398126463701}","[[146,75],[71,354]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,3,"{""0"":2,""1"":2}",0,0.7307,0.7274,"{""healthy"":0.6979166666666666,""degraded"":0.7569832402234636}","[[201,20],[154,271]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,4,"{""0"":2,""1"":2}",0,0.8050,0.7693,"{""healthy"":0.6785714285714286,""degraded"":0.86}","[[133,88],[38,387]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,5,"{""0"":2,""1"":2}",0,0.7121,0.6121,"{""healthy"":0.41509433962264153,""degraded"":0.8090349075975359}","[[66,155],[31,394]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,6,"{""0"":2,""1"":2}",0,0.6873,0.6382,"{""healthy"":0.5049019607843137,""degraded"":0.7714932126696833}","[[103,118],[84,341]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,7,"{""0"":2,""1"":2}",0,0.5666,0.5649,"{""healthy"":0.5918367346938775,""degraded"":0.5379537953795379}","[[203,18],[262,163]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,8,"{""0"":2,""1"":2}",0,0.5573,0.5511,"{""healthy"":0.6038781163434903,""degraded"":0.4982456140350877}","[[218,3],[283,142]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,9,"{""0"":2,""1"":2}",0,0.7848,0.7767,"{""healthy"":0.734225621414914,""degraded"":0.8192457737321196}","[[192,29],[110,315]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,real_only,2,10,"{""0"":2,""1"":2}",0,0.7229,0.7214,"{""healthy"":0.7011686143572621,""degraded"":0.7417027417027418}","[[210,11],[168,257]]","[""healthy"",""degraded""]"
