dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",30,0.5481,0.4919,"{""sharp"":0.7368421052631579,""worn"":0.0972972972972973,""severe"":0.6416666666666667}","[[119,0,0],[83,9,61],[2,23,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",30,0.5267,0.4477,"{""sharp"":0.6294117647058823,""worn"":0.012987012987012988,""severe"":0.7007874015748031}","[[107,0,12],[101,1,51],[13,0,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",30,0.5615,0.5223,"{""sharp"":0.6415094339622641,""worn"":0.21965317919075145,""severe"":0.7058823529411765}","[[119,0,0],[104,19,30],[29,1,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",30,0.4893,0.4339,"{""sharp"":0.6445783132530121,""worn"":0.02185792349726776,""severe"":0.6351931330472103}","[[107,12,0],[94,2,57],[12,16,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",30,0.5856,0.5705,"{""sharp"":0.6900958466453674,""worn"":0.3394495412844037,""severe"":0.6820276497695853}","[[108,11,0],[75,37,41],[11,17,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",30,0.4465,0.4175,"{""sharp"":0.7016393442622951,""worn"":0.2109704641350211,""severe"":0.33980582524271846}","[[107,0,12],[71,25,57],[8,59,35]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",30,0.5535,0.5040,"{""sharp"":0.6584615384615384,""worn"":0.17341040462427745,""severe"":0.68}","[[107,0,12],[87,15,51],[12,5,85]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",30,0.5267,0.4410,"{""sharp"":0.6839080459770115,""worn"":0.012987012987012988,""severe"":0.6260162601626016}","[[119,0,0],[85,1,67],[25,0,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",30,0.4866,0.4469,"{""sharp"":0.6409495548961425,""worn"":0.10152284263959391,""severe"":0.5981308411214953}","[[108,11,0],[95,10,48],[15,23,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",30,0.5428,0.5420,"{""sharp"":0.6554054054054054,""worn"":0.3769230769230769,""severe"":0.59375}","[[97,22,0],[71,49,33],[9,36,57]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",30,0.5241,0.4854,"{""sharp"":0.6948051948051948,""worn"":0.1414141414141414,""severe"":0.6198347107438017}","[[107,12,0],[74,14,65],[8,19,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",30,0.4786,0.4587,"{""sharp"":0.6840390879478827,""worn"":0.27091633466135456,""severe"":0.42105263157894735}","[[105,13,1],[72,34,47],[11,51,40]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",30,0.5642,0.5094,"{""sharp"":0.6945337620578779,""worn"":0.13636363636363635,""severe"":0.6973180076628352}","[[108,10,1],[74,12,67],[10,1,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",30,0.6096,0.6033,"{""sharp"":0.7235494880546075,""worn"":0.3949579831932773,""severe"":0.6912442396313364}","[[106,13,0],[66,47,40],[2,25,75]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",30,0.6203,0.6070,"{""sharp"":0.7708333333333334,""worn"":0.41228070175438597,""severe"":0.6379310344827587}","[[111,0,8],[58,47,48],[0,28,74]]","[""sharp"",""worn"",""severe""]"
