dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",60,0.2727,0.1429,"{""sharp"":0.0,""worn"":0.0,""severe"":0.42857142857142855}","[[0,0,119],[0,0,153],[0,0,102]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",60,0.5695,0.4745,"{""sharp"":0.04918032786885246,""worn"":0.6415094339622641,""severe"":0.7326732673267327}","[[3,107,9],[0,136,17],[0,28,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",60,0.4920,0.3969,"{""sharp"":0.0,""worn"":0.5315068493150685,""severe"":0.6590909090909091}","[[0,100,19],[0,97,56],[0,15,87]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",60,0.4519,0.3487,"{""sharp"":0.057971014492753624,""worn"":0.582441113490364,""severe"":0.40559440559440557}","[[4,109,6],[11,136,6],[4,69,29]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",60,0.5080,0.4310,"{""sharp"":0.684931506849315,""worn"":0.012738853503184714,""severe"":0.5953177257525084}","[[100,0,19],[63,1,89],[10,3,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.2406,0.2669,"{""sharp"":0.46153846153846156,""worn"":0.16923076923076924,""severe"":0.16993464052287582}","[[42,9,68],[21,22,110],[0,76,26]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.5187,0.4509,"{""sharp"":0.7172413793103448,""worn"":0.048484848484848485,""severe"":0.5870307167235495}","[[104,0,15],[59,4,90],[8,8,86]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.5267,0.5093,"{""sharp"":0.49038461538461536,""worn"":0.5721784776902887,""severe"":0.46540880503144655}","[[51,63,5],[29,109,15],[9,56,37]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5668,0.5591,"{""sharp"":0.7171314741035857,""worn"":0.4095238095238095,""severe"":0.5505226480836237}","[[90,0,29],[33,43,77],[9,14,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.6631,0.6680,"{""sharp"":0.6752136752136753,""worn"":0.572463768115942,""severe"":0.7563025210084033}","[[79,40,0],[28,79,46],[8,4,90]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.7326,0.7362,"{""sharp"":0.7577092511013216,""worn"":0.7112462006079028,""severe"":0.7395833333333334}","[[86,29,4],[21,117,15],[1,30,71]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.5428,0.5063,"{""sharp"":0.7235494880546075,""worn"":0.49158249158249157,""severe"":0.3037974683544304}","[[106,1,12],[60,73,20],[8,70,24]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.6658,0.6540,"{""sharp"":0.7440273037542662,""worn"":0.4700460829493088,""severe"":0.7478991596638656}","[[109,10,0],[55,51,47],[10,3,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.6925,0.6963,"{""sharp"":0.7863247863247863,""worn"":0.6142322097378277,""severe"":0.6882591093117408}","[[92,15,12],[23,82,48],[0,17,85]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.6684,0.6654,"{""sharp"":0.7692307692307693,""worn"":0.5642857142857143,""severe"":0.6627218934911243}","[[115,4,0],[63,79,11],[2,44,56]]","[""sharp"",""worn"",""severe""]"
