dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,0,"{""0"":2,""1"":2,""2"":2}",120,0.3610,0.3199,"{""sharp"":0.6025641025641025,""worn"":0.029411764705882353,""severe"":0.3275862068965517}","[[94,0,25],[83,3,67],[16,48,38]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,1,"{""0"":2,""1"":2,""2"":2}",120,0.3610,0.3238,"{""sharp"":0.5696969696969697,""worn"":0.12612612612612611,""severe"":0.2755102040816326}","[[94,0,25],[97,14,42],[20,55,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,2,"{""0"":2,""1"":2,""2"":2}",120,0.3850,0.3366,"{""sharp"":0.5714285714285714,""worn"":0.010810810810810811,""severe"":0.4274193548387097}","[[90,0,29],[88,1,64],[18,31,53]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,3,"{""0"":2,""1"":2,""2"":2}",120,0.4251,0.3712,"{""sharp"":0.5949367088607594,""worn"":0.02247191011235955,""severe"":0.49606299212598426}","[[94,0,25],[87,2,64],[16,23,63]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,2,4,"{""0"":2,""1"":2,""2"":2}",120,0.3904,0.3417,"{""sharp"":0.6164383561643836,""worn"":0.0,""severe"":0.40875912408759124}","[[90,0,29],[66,0,87],[17,29,56]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",120,0.3717,0.3400,"{""sharp"":0.5968253968253968,""worn"":0.15584415584415584,""severe"":0.26732673267326734}","[[94,0,25],[87,18,48],[15,60,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",120,0.3636,0.3227,"{""sharp"":0.5878594249201278,""worn"":0.029850746268656716,""severe"":0.3504273504273504}","[[92,0,27],[86,3,64],[16,45,41]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",120,0.4171,0.3653,"{""sharp"":0.6394557823129252,""worn"":0.011111111111111112,""severe"":0.44525547445255476}","[[94,0,25],[66,1,86],[15,26,61]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",120,0.3610,0.3200,"{""sharp"":0.5987261146496815,""worn"":0.02926829268292683,""severe"":0.3318777292576419}","[[94,0,25],[86,3,64],[15,49,38]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",120,0.4251,0.3947,"{""sharp"":0.5910652920962199,""worn"":0.14432989690721648,""severe"":0.44866920152091255}","[[86,0,33],[70,14,69],[16,27,59]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",120,0.5080,0.4855,"{""sharp"":0.6584615384615384,""worn"":0.30837004405286345,""severe"":0.4897959183673469}","[[107,0,12],[84,35,34],[15,39,48]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",120,0.3342,0.2946,"{""sharp"":0.5968253968253968,""worn"":0.03686635944700461,""severe"":0.25}","[[94,0,25],[87,4,62],[15,60,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",120,0.4706,0.4438,"{""sharp"":0.6533333333333333,""worn"":0.20095693779904306,""severe"":0.4769874476987448}","[[98,0,21],[73,21,59],[10,35,57]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",120,0.3396,0.2985,"{""sharp"":0.5864197530864198,""worn"":0.045662100456621,""severe"":0.2634146341463415}","[[95,0,24],[96,5,52],[14,61,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",120,0.3904,0.3457,"{""sharp"":0.6524390243902439,""worn"":0.10619469026548672,""severe"":0.27835051546391754}","[[107,0,12],[88,12,53],[14,61,27]]","[""sharp"",""worn"",""severe""]"
