dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,case_split,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.3545,0.2766,"{""sharp"":0.2214765100671141,""worn"":0.543859649122807,""severe"":0.06451612903225806}","[[33,100,88],[27,186,42],[17,143,10]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.3715,0.3254,"{""sharp"":0.4591194968553459,""worn"":0.06569343065693431,""severe"":0.4514285714285714}","[[73,8,140],[14,9,232],[10,2,158]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4814,0.4476,"{""sharp"":0.18571428571428572,""worn"":0.5166402535657686,""severe"":0.6404199475065617}","[[26,174,21],[24,163,68],[9,39,122]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.4567,0.3529,"{""sharp"":0.5107398568019093,""worn"":0.5365853658536586,""severe"":0.011363636363636364}","[[107,111,3],[66,187,2],[25,144,1]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.2848,0.2192,"{""sharp"":0.17266187050359713,""worn"":0.05901639344262295,""severe"":0.42595204513399154}","[[24,34,163],[21,9,225],[12,7,151]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.4118,0.2980,"{""sharp"":0.22972972972972974,""worn"":0.5490683229813664,""severe"":0.11518324607329843}","[[34,185,2],[26,221,8],[15,144,11]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.4071,0.3530,"{""sharp"":0.5618556701030928,""worn"":0.03065134099616858,""severe"":0.4665629860031104}","[[109,1,111],[39,4,212],[19,1,150]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.5433,0.5423,"{""sharp"":0.5995623632385121,""worn"":0.4302600472813239,""severe"":0.5970873786407767}","[[137,57,27],[72,91,92],[27,20,123]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.3328,0.2914,"{""sharp"":0.3111111111111111,""worn"":0.1033434650455927,""severe"":0.45987654320987653}","[[49,52,120],[29,17,209],[16,5,149]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,case_split,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.4768,0.4415,"{""sharp"":0.6260869565217392,""worn"":0.1411042944785276,""severe"":0.5573122529644269}","[[144,40,37],[74,23,158],[21,8,141]]","[""sharp"",""worn"",""severe""]"
