dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,0,"{""0"":2,""1"":2}",40,0.7167,0.7148,"{""healthy"":0.6913996627318718,""degraded"":0.7381974248927039}","[[205,16],[167,258]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,1,"{""0"":2,""1"":2}",40,0.7353,0.7138,"{""healthy"":0.6353944562899787,""degraded"":0.7922235722964763}","[[149,72],[99,326]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,2,"{""0"":2,""1"":2}",40,0.7601,0.7283,"{""healthy"":0.6352941176470588,""degraded"":0.8212226066897347}","[[135,86],[69,356]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,3,"{""0"":2,""1"":2}",40,0.7152,0.7116,"{""healthy"":0.6794425087108014,""degraded"":0.7437325905292479}","[[195,26],[158,267]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,4,"{""0"":2,""1"":2}",40,0.7430,0.7392,"{""healthy"":0.7077464788732394,""degraded"":0.7707182320441989}","[[201,20],[146,279]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,5,"{""0"":2,""1"":2}",40,0.4783,0.4778,"{""healthy"":0.4947526236881559,""degraded"":0.4608}","[[165,56],[281,144]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,6,"{""0"":2,""1"":2}",40,0.7848,0.7765,"{""healthy"":0.7332053742802304,""degraded"":0.8197146562905318}","[[191,30],[109,316]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,7,"{""0"":2,""1"":2}",40,0.6285,0.6280,"{""healthy"":0.6141479099678456,""degraded"":0.6417910447761194}","[[191,30],[210,215]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,8,"{""0"":2,""1"":2}",40,0.6285,0.6279,"{""healthy"":0.6428571428571429,""degraded"":0.6129032258064516}","[[216,5],[235,190]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,9,"{""0"":2,""1"":2}",40,0.6563,0.5726,"{""healthy"":0.38333333333333336,""degraded"":0.7618025751072961}","[[69,152],[70,355]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,10,"{""0"":2,""1"":2}",40,0.7988,0.7882,"{""healthy"":0.7410358565737052,""degraded"":0.8354430379746836}","[[186,35],[95,330]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,11,"{""0"":2,""1"":2}",40,0.6950,0.6902,"{""healthy"":0.6513274336283186,""degraded"":0.7290233837689133}","[[184,37],[160,265]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,12,"{""0"":2,""1"":2}",40,0.4303,0.4169,"{""healthy"":0.5053763440860215,""degraded"":0.3284671532846715}","[[188,33],[335,90]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,13,"{""0"":2,""1"":2}",40,0.7399,0.7029,"{""healthy"":0.5980861244019139,""degraded"":0.8077803203661327}","[[125,96],[72,353]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,14,"{""0"":2,""1"":2}",40,0.7508,0.7184,"{""healthy"":0.6229508196721312,""degraded"":0.8138728323699422}","[[133,88],[73,352]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,15,"{""0"":2,""1"":2}",40,0.6533,0.6454,"{""healthy"":0.5927272727272728,""degraded"":0.6981132075471698}","[[163,58],[166,259]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,16,"{""0"":2,""1"":2}",40,0.7802,0.7746,"{""healthy"":0.7389705882352942,""degraded"":0.8101604278074866}","[[201,20],[122,303]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,17,"{""0"":2,""1"":2}",40,0.7957,0.7840,"{""healthy"":0.7338709677419355,""degraded"":0.8341708542713567}","[[182,39],[93,332]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,18,"{""0"":2,""1"":2}",40,0.7090,0.6942,"{""healthy"":0.626984126984127,""degraded"":0.7614213197969543}","[[158,63],[125,300]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,19,"{""0"":2,""1"":2}",40,0.7585,0.7281,"{""healthy"":0.6372093023255814,""degraded"":0.8190255220417634}","[[137,84],[72,353]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,20,"{""0"":2,""1"":2}",40,0.7461,0.7445,"{""healthy"":0.7239057239057239,""degraded"":0.7650429799426934}","[[215,6],[158,267]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,21,"{""0"":2,""1"":2}",40,0.6424,0.4974,"{""healthy"":0.22742474916387959,""degraded"":0.7673716012084593}","[[34,187],[44,381]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,22,"{""0"":2,""1"":2}",40,0.7446,0.7166,"{""healthy"":0.6275395033860045,""degraded"":0.8056537102473498}","[[139,82],[83,342]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,noise_aug,2,23,"{""0"":2,""1"":2}",40,0.8080,0.8019,"{""healthy"":0.7669172932330827,""degraded"":0.8368421052631579}","[[204,17],[107,318]]","[""healthy"",""degraded""]"
