dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,0,"{""0"":2,""1"":2}",40,0.4025,0.3703,"{""healthy"":0.228,""degraded"":0.5126262626262627}","[[57,164],[222,203]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,1,"{""0"":2,""1"":2}",40,0.3050,0.3039,"{""healthy"":0.33084947839046197,""degraded"":0.27697262479871176}","[[111,110],[339,86]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,2,"{""0"":2,""1"":2}",40,0.7399,0.7282,"{""healthy"":0.671875,""degraded"":0.7846153846153846}","[[172,49],[119,306]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,3,"{""0"":2,""1"":2}",40,0.4520,0.3461,"{""healthy"":0.08290155440414508,""degraded"":0.609271523178808}","[[16,205],[149,276]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,4,"{""0"":2,""1"":2}",40,0.5325,0.5185,"{""healthy"":0.43656716417910446,""degraded"":0.6005291005291006}","[[117,104],[198,227]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,5,"{""0"":2,""1"":2}",40,0.3096,0.3095,"{""healthy"":0.3159509202453988,""degraded"":0.303125}","[[103,118],[328,97]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,6,"{""0"":2,""1"":2}",40,0.6269,0.5568,"{""healthy"":0.38046272493573263,""degraded"":0.7331118493909191}","[[74,147],[94,331]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,7,"{""0"":2,""1"":2}",40,0.6022,0.4095,"{""healthy"":0.07220216606498195,""degraded"":0.7467980295566502}","[[10,211],[46,379]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,8,"{""0"":2,""1"":2}",40,0.6440,0.6010,"{""healthy"":0.4700460829493088,""degraded"":0.7319347319347319}","[[102,119],[111,314]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,9,"{""0"":2,""1"":2}",40,0.4133,0.3794,"{""healthy"":0.23434343434343435,""degraded"":0.5244667503136763}","[[58,163],[216,209]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,10,"{""0"":2,""1"":2}",40,0.2632,0.2594,"{""healthy"":0.20666666666666667,""degraded"":0.31213872832369943}","[[62,159],[317,108]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,11,"{""0"":2,""1"":2}",40,0.6579,0.3968,"{""healthy"":0.0,""degraded"":0.7936507936507936}","[[0,221],[0,425]]","[""healthy"",""degraded""]"
Berkeley_milling_v2_binary,heldout_case_split_preregistered,custom_pool,2,12,"{""0"":2,""1"":2}",40,0.6254,0.4620,"{""healthy"":0.16551724137931034,""degraded"":0.7584830339321357}","[[24,197],[45,380]]","[""healthy"",""degraded""]"
