dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,0,"{""0"":2,""1"":2,""2"":2}",0,0.4225,0.4003,"{""sharp"":0.5111111111111111,""worn"":0.18181818181818182,""severe"":0.5081081081081081}","[[46,19,54],[15,18,120],[0,8,94]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,1,"{""0"":2,""1"":2,""2"":2}",0,0.5267,0.4578,"{""sharp"":0.6086956521739131,""worn"":0.0,""severe"":0.7647058823529411}","[[119,0,0],[129,0,24],[24,0,78]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,2,"{""0"":2,""1"":2,""2"":2}",0,0.5428,0.4336,"{""sharp"":0.0,""worn"":0.6428571428571429,""severe"":0.6578947368421053}","[[0,119,0],[0,153,0],[1,51,50]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,3,"{""0"":2,""1"":2,""2"":2}",0,0.2754,0.1535,"{""sharp"":0.032520325203252036,""worn"":0.0,""severe"":0.4279661016949153}","[[2,0,117],[1,0,152],[1,0,101]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,4,"{""0"":2,""1"":2,""2"":2}",0,0.4920,0.4219,"{""sharp"":0.7203065134099617,""worn"":0.0,""severe"":0.5454545454545454}","[[94,1,24],[39,0,114],[9,3,90]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,5,"{""0"":2,""1"":2,""2"":2}",0,0.4947,0.3725,"{""sharp"":0.08064516129032258,""worn"":0.6181818181818182,""severe"":0.4186046511627907}","[[5,114,0],[0,153,0],[0,75,27]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,6,"{""0"":2,""1"":2,""2"":2}",0,0.4118,0.3204,"{""sharp"":0.5,""worn"":0.46113989637305697,""severe"":0.0}","[[65,54,0],[64,89,0],[12,90,0]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,7,"{""0"":2,""1"":2,""2"":2}",0,0.3342,0.1993,"{""sharp"":0.04878048780487805,""worn"":0.5251641137855579,""severe"":0.023809523809523808}","[[3,84,32],[1,120,32],[0,100,2]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,8,"{""0"":2,""1"":2,""2"":2}",0,0.3610,0.2853,"{""sharp"":0.5721649484536082,""worn"":0.10714285714285714,""severe"":0.17647058823529413}","[[111,0,8],[127,12,14],[31,59,12]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,2,9,"{""0"":2,""1"":2,""2"":2}",0,0.5134,0.4670,"{""sharp"":0.6025316455696202,""worn"":0.1317365269461078,""severe"":0.6666666666666666}","[[119,0,0],[120,11,22],[37,3,62]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,0,"{""0"":5,""1"":5,""2"":5}",0,0.2005,0.1638,"{""sharp"":0.0,""worn"":0.34812286689419797,""severe"":0.14328358208955225}","[[0,11,108],[1,51,101],[0,78,24]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,1,"{""0"":5,""1"":5,""2"":5}",0,0.4465,0.4245,"{""sharp"":0.507177033492823,""worn"":0.23115577889447236,""severe"":0.5352941176470588}","[[53,12,54],[37,23,93],[0,11,91]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,2,"{""0"":5,""1"":5,""2"":5}",0,0.5294,0.4410,"{""sharp"":0.6858789625360231,""worn"":0.0,""severe"":0.6370967741935484}","[[119,0,0],[86,0,67],[23,0,79]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,3,"{""0"":5,""1"":5,""2"":5}",0,0.4332,0.3279,"{""sharp"":0.625,""worn"":0.3586206896551724,""severe"":0.0}","[[110,9,0],[97,52,4],[26,76,0]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,4,"{""0"":5,""1"":5,""2"":5}",0,0.4679,0.4683,"{""sharp"":0.5867768595041323,""worn"":0.24,""severe"":0.578125}","[[71,48,0],[43,30,80],[9,19,74]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,5,"{""0"":5,""1"":5,""2"":5}",0,0.5775,0.5786,"{""sharp"":0.72,""worn"":0.39669421487603307,""severe"":0.6192170818505338}","[[81,26,12],[25,48,80],[0,15,87]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,6,"{""0"":5,""1"":5,""2"":5}",0,0.4866,0.4770,"{""sharp"":0.5588235294117647,""worn"":0.3333333333333333,""severe"":0.5389221556886228}","[[57,12,50],[26,35,92],[2,10,90]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,7,"{""0"":5,""1"":5,""2"":5}",0,0.4144,0.4098,"{""sharp"":0.4944649446494465,""worn"":0.1350210970464135,""severe"":0.6}","[[67,52,0],[71,16,66],[14,16,72]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,8,"{""0"":5,""1"":5,""2"":5}",0,0.5455,0.4567,"{""sharp"":0.69375,""worn"":0.0,""severe"":0.6763636363636364}","[[111,0,8],[81,0,72],[9,0,93]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,5,9,"{""0"":5,""1"":5,""2"":5}",0,0.5241,0.4543,"{""sharp"":0.6118251928020566,""worn"":0.0,""severe"":0.751219512195122}","[[119,0,0],[127,0,26],[24,1,77]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,0,"{""0"":10,""1"":10,""2"":10}",0,0.3369,0.3387,"{""sharp"":0.40522875816993464,""worn"":0.23140495867768596,""severe"":0.37960339943342775}","[[31,26,62],[3,28,122],[0,35,67]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,1,"{""0"":10,""1"":10,""2"":10}",0,0.4813,0.4333,"{""sharp"":0.6473029045643154,""worn"":0.4932249322493225,""severe"":0.15942028985507245}","[[78,35,6],[43,91,19],[1,90,11]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,2,"{""0"":10,""1"":10,""2"":10}",0,0.5561,0.5422,"{""sharp"":0.6728971962616822,""worn"":0.32,""severe"":0.6336633663366337}","[[108,11,0],[81,36,36],[13,25,64]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,3,"{""0"":10,""1"":10,""2"":10}",0,0.5107,0.4708,"{""sharp"":0.28776978417266186,""worn"":0.5601965601965602,""severe"":0.5643564356435643}","[[20,95,4],[0,114,39],[0,45,57]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,4,"{""0"":10,""1"":10,""2"":10}",0,0.4679,0.4318,"{""sharp"":0.7279411764705882,""worn"":0.39365079365079364,""severe"":0.17391304347826086}","[[99,12,8],[54,62,37],[0,88,14]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,5,"{""0"":10,""1"":10,""2"":10}",0,0.5829,0.5520,"{""sharp"":0.6502732240437158,""worn"":0.2569832402234637,""severe"":0.7487684729064039}","[[119,0,0],[105,23,25],[23,3,76]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,6,"{""0"":10,""1"":10,""2"":10}",0,0.4171,0.3491,"{""sharp"":0.5838509316770186,""worn"":0.3522012578616352,""severe"":0.1111111111111111}","[[94,25,0],[97,56,0],[12,84,6]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,7,"{""0"":10,""1"":10,""2"":10}",0,0.5588,0.5144,"{""sharp"":0.7125748502994012,""worn"":0.17894736842105263,""severe"":0.6517857142857143}","[[119,0,0],[87,17,49],[9,20,73]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,8,"{""0"":10,""1"":10,""2"":10}",0,0.5615,0.5123,"{""sharp"":0.6524390243902439,""worn"":0.16091954022988506,""severe"":0.7235772357723578}","[[107,7,5],[89,14,50],[13,0,89]]","[""sharp"",""worn"",""severe""]"
Berkeley_milling,inner_val_current_pool_diagnostic,real_only,10,9,"{""0"":10,""1"":10,""2"":10}",0,0.4412,0.4046,"{""sharp"":0.6144927536231884,""worn"":0.2781954887218045,""severe"":0.32116788321167883}","[[106,13,0],[103,37,13],[17,63,22]]","[""sharp"",""worn"",""severe""]"
